   0.000000       0.000000       0.000000    
   0.530000E-01    5.98740        1.94523    
   0.610000E-01    6.45700        1.86584    
   0.710000E-01    6.84442        1.86584    
   0.820000E-01    7.14966        1.63760    
   0.950000E-01    7.46664        1.56483    
   0.109000        7.70144        1.42424    
   0.126000        7.83058        1.35643    
   0.145000        8.04190        1.25781    
   0.167000        8.21800        1.16292    
   0.193000        8.39410        1.13212    
   0.223000        8.55846        1.07175    
   0.257000        8.79326        1.01303    
   0.297000        8.93414       0.955972    
   0.342000        9.12198       0.928062    
   0.395000        9.29808       0.873482    
   0.456000        9.53288       0.846813    
   0.526000        9.72072       0.769285    
   0.607000        9.99074       0.719667    
   0.700000        10.1903       0.648341    
   0.808000        10.4603       0.580737    
   0.932000        10.7186       0.496386    
    1.07500        10.9417       0.418651    
    1.24000        11.2000       0.298535    
    1.43100        11.4230       0.211703    
    1.65100        11.6109       0.109366    
    1.90500        11.7283       0.405213E-01
    2.15900        11.7752       0.101303E-01
    2.41300        11.7635       0.330786E-02
    2.66700        11.7517       0.186067E-02
    2.92100        11.7517       0.826966E-03
    3.17500        11.7400       0.826966E-03
    3.42900        11.7283       0.826966E-03
    3.68300        11.7165       0.826966E-03
    3.81000        11.7165       0.826966E-03
    4.06400        11.7165       0.826966E-03
    4.31800        11.7283       0.826966E-03
    4.57200        11.7400       0.826966E-03
    4.82600        11.7517       0.826966E-03
    5.08000        11.7517       0.186067E-02
    5.33400        11.7635       0.330786E-02
    5.58800        11.7752       0.101303E-01
    5.84200        11.7283       0.405213E-01
    6.07500        11.6109       0.109366    
    6.27700        11.4230       0.211703    
    6.45300        11.2000       0.298535    
    6.60500        10.9417       0.418651    
    6.73800        10.7186       0.496386    
    6.85400        10.4603       0.580737    
    6.95400        10.1903       0.648341    
    7.04100        9.99074       0.719667    
    7.11700        9.72072       0.769285    
    7.18300        9.53288       0.846813    
    7.24000        9.29808       0.873482    
    7.29000        9.12198       0.928062    
    7.33300        8.93414       0.955972    
    7.37100        8.79326        1.01303    
    7.40300        8.55846        1.07175    
    7.43100        8.39410        1.13212    
    7.45600        8.21800        1.16292    
    7.47800        8.04190        1.25781    
    7.49600        7.83058        1.35643    
    7.51200        7.70144        1.42424    
    7.52700        7.46664        1.56483    
    7.53900        7.14966        1.63760    
    7.54900        6.84442        1.86584    
    7.55900        6.45700        1.86584    
    7.56700        5.98740        1.94523    
    7.62000       0.000000       0.000000    
